Dimensions;Niveau;Nombres d’éléments;Complexité;;;;
Documents;1;1;1;;;;
;2;1;2;;;;
;3;1;3;;;;
;4;1;4;;;;
Total;10;4;10;;;;
Acteurs;1;8;8;;;;
;2;8;16;;;;
Total;3;16;24;;;;
Concepts;1;1;1;;;;
;2;8;16;;;;
;3;9;27;;;;
;4;4;16;;;;
Total;10;22;60;;;;
Rapports;1;5;5;;;;
;2;7;14;;;;
;3;12;36;;;;
;4;9;36;;;;
Total;10;30;91;;;;
Total  Général;23;68;184;;;;
;;;;;;;
nb rapports ;nb sources ;type source ;nb prédicat;type prédicat;nb déstinatère ;type déstinataire;complexité 
4;3;acteur;2;concept;3;concept;8
2;2;acteur;3;concept;5;document;10
1;3;document ;13;concept;6;acteur ;23
5;3;concept;6;concept;17;concept;31
12;11;;24;;31;;52
