Dimensions;Niveau;Nombre d'élément;Complexité;;;;;;;;
;1;1;1;;;;;;;;
Document;2;5;10;;;;;;;;
;2;6;11;;;;;;;;
;1;3;3;;;;;;;;
Acteurs;2;13;26;;;;;;;;
;2;16;29;;;;;;;;
;1;1;1;;;;;;;;
;2;3;6;;;;;;;;
Concepts;3;6;18;;;;;;;;
;4;3;12;;;;;;;;
;4;13;37;;;;;;;;
Rapport;1;12;41;;;;;;;;
Total ;9;47;118;;;;;;;;
;;;;;;;;;;;
;;;;Nb de rapport;Nb source;Type source;Nb prédicat ;Type prédicat ;Nb destinateur;Type destinateu;Complexité
;;;;1;1;Acteur;1;Concept;1;Document;4
;;;;3;3;Acteur;3;Concept;3;Concept;12
;;;;5;3;Document;4;Concept;3;Acteur;15
;;;;3;3;Concept;2;Concept;2;Concept;10
;;;;12;10;;10;;9;;41
